arrival_info,stop_number,stop_name,stop_id,latitude,longitude
12分鐘,1,信義永康街口(捷運東門站),1065000320,25.033693,121.529727
15分鐘,2,金華新生路口,1065000240,25.03087,121.53346
16分鐘,3,和平新生路口,1064400040,25.02639,121.53478
18分鐘,4,龍安國小(公務人力發展學院),1066000240,25.024664,121.5345198
19分鐘,5,臺大綜合體育館,1066000140,25.02155,121.5341136
20分鐘,6,臺大,1067300840,25.018239,121.533435
進站中,7,捷運公館站,1009000140,25.014321,121.534722
進站中,8,師大分部,1167700041,25.00814,121.538064
4分鐘,9,武功國小(興隆),1168100020,25.004127,121.5398685
6分鐘,10,景明街口,1168000020,25.001631,121.5422579
7分鐘,11,憲光公寓,1168000140,24.999433,121.5438916
10分鐘,12,靜心高中,1168700320,24.998797,121.545859
10分鐘,13,興隆市場,1168700020,24.999632,121.547902
11分鐘,14,興德國小,1168900420,25.00097,121.5503078
13分鐘,15,興隆國小,1169000020,25.001221,121.5533283
15分鐘,16,捷運萬芳醫院站,1169500121,24.999051,121.557681
17分鐘,17,臺灣警察專科學校,1169800240,24.998268,121.5584948
進站中,18,文山運動中心(萬芳),1169600020,24.996958,121.56078
4分鐘,19,棕櫚泉社區,1169600320,24.99729,121.56229
5分鐘,20,萬利街口,1165300220,24.998733,121.56623
5分鐘,21,捷運萬芳社區站,1165300120,24.998858,121.5680836
6分鐘,22,萬芳6號公園,1165300500,24.999654,121.569055
7分鐘,23,萬芳國小,1165300460,25.001533,121.567472
7分鐘,24,萬芳活動中心,1166500420,25.002391,121.5683789
8分鐘,25,萬芳社區,1165300320,25.002253,121.5698159
