arrival_info,stop_number,stop_name,stop_id,latitude,longitude
3分鐘,20,實踐街口,1126200640,25.114726,121.5064388
4分鐘,21,承德路七段,1126200540,25.112706,121.508727
6分鐘,22,石牌,1128700240,25.109536,121.512347
6分鐘,23,文林國小,1128700140,25.108034,121.5139733
7分鐘,24,中正高中,1128700040,25.105059,121.517803
8分鐘,25,捷運芝山站(戲曲中心),1115900240,25.102263,121.5204736
9分鐘,26,捷運芝山站一,1115900340,25.100849,121.5223075
11分鐘,27,士林,1115900040,25.095911,121.5242793
14分鐘,28,小北街,1116300541,25.090999,121.526725
18分鐘,29,捷運劍潭站(北藝中心),1114100440,25.084849,121.524748
21分鐘,30,圓山皇宮大廈,1116600140,25.083468,121.5233264
3分鐘,32,明倫高中,1036700240,25.07344,121.5191524
6分鐘,33,庫倫街口,1036600040,25.071066,121.5183341
8分鐘,34,民族承德路口,1036500040,25.067913,121.5182673
9分鐘,35,大同國小,1036300040,25.064874,121.5181
11分鐘,36,成淵高中,1036000040,25.062226,121.518152
14分鐘,37,民生西路口,1035300140,25.056725,121.5179896
18分鐘,38,捷運中山站(志仁高中),1035200120,25.05271,121.5196749
20分鐘,39,南京林森路口,1045400120,25.052069,121.5250604
3分鐘,41,捷運松江南京站,1045700420,25.051969,121.5327305
5分鐘,42,南京建國路口,1048700320,25.051938,121.5362725
7分鐘,43,南京龍江路口,1048700420,25.051888,121.5401689
8分鐘,44,捷運南京復興站,1055000120,25.051804,121.5435614
4分鐘,48,臺北市區監理所(光復),1055500040,25.04762,121.5577342
7分鐘,49,捷運國父紀念館站(光復),1069400140,25.042558,121.557568
9分鐘,50,國父紀念館,1069400040,25.039009,121.5574996
10分鐘,51,市民住宅,1069500140,25.03669,121.55745
11分鐘,52,三張犁,1069500040,25.034098,121.5573365
4分鐘,54,景新里,1104900440,25.02923,121.5624103
5分鐘,55,臺北醫學大學,1105000340,25.028273,121.5632643
6分鐘,56,信義國中(莊敬),1105000240,25.027402,121.565724
8分鐘,57,吳興國小(松仁),1104600040,25.026231,121.568554
4分鐘,60,吳興國小(松仁),1104600000,25.026234,121.568628
4分鐘,64,松壽路口,1105100460,25.035881,121.5666401
5分鐘,65,市政府(松壽),1105100360,25.035907,121.5646562
5分鐘,66,市政府(市府),1100800100,25.038366,121.5636251
8分鐘,67,捷運市政府站,1107100120,25.041057,121.5653493
