arrival_info,stop_number,stop_name,stop_id,latitude,longitude
末班已過,1,消防局(松仁),1107300441,25.038604,121.568284
末班已過,2,興雅國中,1107300740,25.037232,121.5682685
末班已過,3,信義松仁路口(松仁),1105800440,25.034535,121.568236
末班已過,4,松平路口,1104600340,25.030795,121.568193
末班已過,5,信義國中(松仁),1105900040,25.02881,121.568164
末班已過,6,吳興國小(松仁),1104600040,25.026231,121.568554
末班已過,7,松仁路,1104600240,25.024432,121.569585
末班已過,8,松仁路,1104600200,25.02453,121.5695997
末班已過,9,吳興國小(松仁),1104600000,25.026234,121.568628
末班已過,10,信義國中(莊敬),1105000200,25.027607,121.56521
末班已過,11,臺北醫學大學,1105000300,25.028241,121.5634888
末班已過,12,景新里,1104900400,25.029526,121.5623852
末班已過,13,世貿中心(莊敬),1104900100,25.031399,121.561326
末班已過,14,信義光復路口,1105200260,25.0331,121.55813
末班已過,15,三張犁,1107400000,25.033777,121.5575983
末班已過,16,市民住宅,1107300100,25.03663,121.5576
末班已過,17,國父紀念館,1069400000,25.039018,121.5577195
末班已過,18,捷運國父紀念館站(光復),1069400100,25.042733,121.557919
進站中,19,臺北市區監理所(光復),1055500000,25.04698,121.5579397
進站中,20,榮民服務處,1056000100,25.048703,121.557946
4分鐘,21,南京寧安街口,1058000060,25.051659,121.5555163
6分鐘,22,南京敦化路口(小巨蛋),1059500060,25.051793,121.5495209
7分鐘,23,捷運南京復興站,1054700060,25.051885,121.5444647
9分鐘,24,南京龍江路口,1048700460,25.051963,121.5407049
10分鐘,25,南京建國路口,1048700360,25.052089,121.5372713
11分鐘,26,捷運松江南京站,1048600160,25.052114,121.533302
13分鐘,27,南京吉林路口,1045700260,25.052112,121.5303325
進站中,28,南京林森路口,1045400160,25.052167,121.5257174
5分鐘,29,捷運中山站(志仁高中),1035200160,25.052867,121.519866
7分鐘,30,建成公園,1035300200,25.05462,121.51825
8分鐘,31,民生西路口,1035300100,25.05801,121.51829
9分鐘,32,成淵高中,1035400100,25.060893,121.5184069
10分鐘,33,防癆協會,1036400200,25.06357,121.51846
11分鐘,34,大同國小,1035300000,25.066329,121.5185171
12分鐘,35,民族承德路口,1036500000,25.06894,121.5185487
進站中,36,庫倫街口,1036700400,25.072586,121.5190411
進站中,37,明倫高中,1036800000,25.074249,121.5199745
3分鐘,38,劍潭國小,1116700200,25.081066,121.5227513
4分鐘,39,圓山皇宮大廈,1116600100,25.083356,121.523596
7分鐘,40,捷運劍潭站(北藝中心),1116200500,25.084914,121.524923
8分鐘,41,小北街,1116300500,25.090706,121.526903
11分鐘,42,士林,1115900000,25.096111,121.524405
13分鐘,43,捷運芝山站一,1115900300,25.100795,121.522657
進站中,44,捷運芝山站(戲曲中心),1115900200,25.1025,121.52067
進站中,45,中正高中,1128700000,25.105815,121.517376
進站中,46,文林國小,1128700100,25.107487,121.515157
進站中,47,石牌,1128700200,25.110447,121.5117787
4分鐘,48,承德路七段,1126200500,25.11294,121.50901
5分鐘,49,實踐街口,1126200600,25.114088,121.5077201
5分鐘,50,立賢承德路口,1126200800,25.11585,121.50576
6分鐘,51,立農國小,1126200200,25.117318,121.5041908
進站中,52,承德公館路口,1126200471,25.11997,121.501232
進站中,53,大業路(農禪寺),1126800400,25.12271,121.49945
3分鐘,54,鳳甲美術館,1126800800,25.126464,121.498447
3分鐘,55,大業路(大興街口),1126800500,25.12909,121.49742
4分鐘,56,大業路(捷運北投站),1126800600,25.131914,121.496187
5分鐘,57,幼華高中(大業),1126800200,25.133805,121.496138
7分鐘,58,大業中央北路口,1126300020,25.135605,121.498029
8分鐘,59,北投國小,1126300340,25.133845,121.5007209
8分鐘,60,第一銀行,1124600500,25.134924,121.5025486
9分鐘,61,北投公園,1124300300,25.136504,121.5043499
9分鐘,62,新北投,1125200900,25.137787,121.5031168
10分鐘,63,中和街,1125200100,25.139208,121.5016884
10分鐘,64,復興中學,1125200600,25.140779,121.5000398
11分鐘,65,中和里,1125200000,25.142271,121.4988228
進站中,66,國泰新村,1125200500,25.143488,121.4981912
進站中,67,慈航寺,1125200800,25.144813,121.496498
進站中,68,秀山里,1125200360,25.145428,121.4941353
進站中,69,貴子坑水土保持園區,1125200740,25.145263,121.4926337
進站中,70,北投站,1125200240,25.144595,121.492071
